name1,name2,sub,
世新大學,廣播電視電影學系廣播組,國、英、社,
世新大學,廣播電視電影學系電視組,國、英、社,
世新大學,廣播電視電影學系電影組,國、英、社,
世新大學,圖文傳播暨數位出版學系,國、英,
世新大學,公共關係暨廣告學系,國、英、*社,
世新大學,口語傳播暨社群媒體學系,國、英,
世新大學,資訊傳播學系,國、英、*社,
世新大學,數位多媒體設計學系動畫設計組,國、英,
世新大學,數位多媒體設計學系遊戲設計組,國、英,
世新大學,傳播管理學系,國、英、*社,
世新大學,資訊管理學系資訊管理組,國、英、數B,
世新大學,資訊管理學系資訊科技組,國、英、數B,
世新大學,資訊管理學系智慧網路應用組,國、數B,
世新大學,財務金融學系,國、數B、社,
世新大學,行政管理學系,國、英、社,
世新大學,觀光學系餐旅經營管理組,*國、社,
世新大學,觀光學系旅遊暨休閒事業管理組,*國、社,
世新大學,觀光學系觀光規劃暨資源管理組,*國、社,
世新大學,經濟學系,*國、*英、數B,
世新大學,企業管理學系,國、*英、*社,
世新大學,社會心理學系,國、英、數A、數B,
世新大學,英語暨傳播應用學系,國、英,
世新大學,中國文學系,國、社,
世新大學,日本語文學系,國、*英、社,
世新大學,法律學系,國、*英、*社,
佛光大學,文化資產與創意學系(A組),國、社*,
佛光大學,文化資產與創意學系(B組),國*、社,
佛光大學,傳播學系(數位媒體組),國、社,
佛光大學,傳播學系(廣告公關組),國*、社,
佛光大學,傳播學系(流行音樂傳播組),國、社*,
佛光大學,"	
資訊應用學系(資訊系統與智慧應用組)",國、社,
佛光大學,資訊應用學系(動畫與數位內容組),國、社,
佛光大學,資訊應用學系(數位遊戲開發組),國,
佛光大學,中國文學與應用學系,國、社*,
佛光大學,"	
歷史學系(A組)",社,
佛光大學,"	
歷史學系(B組)",國、社,
佛光大學,外國語文學系,國*、英,
佛光大學,社會學暨社會工作學系,國、英*、社*,
佛光大學,心理學系,國、英、數A、數B,
佛光大學,公共事務學系(國際與兩岸事務組),國*、社,
佛光大學,公共事務學系(行政管理組),國、社*,
佛光大學,管理學系(經營管理組),國*、社,
佛光大學,"	
管理學系(行銷與創業組)",國、社*,
佛光大學,管理學系(休閒事業管理組),國、社,
佛光大學,應用經濟學系(財務金融組),國、社,
佛光大學,應用經濟學系(國際商務組),國*、社,
佛光大學,未來與樂活產業學系,國*、社,
佛光大學,健康與創意蔬食產業學系,國,
佛光大學,"	
產品與媒體設計學系(創意產品設計組)",國、社,
佛光大學,產品與媒體設計學系(商業媒體設計組),國,
亞洲大學,健康產業管理學系健康產業管理組,國、數B、社,
亞洲大學,健康產業管理學系醫療機構管理組,國、數B、社,
亞洲大學,食品營養與保健生技學系食品營養組,國、英、自,
亞洲大學,食品營養與保健生技學系保健化妝品組,國、英,
亞洲大學,醫學檢驗暨生物技術學系醫事檢驗組,國、英、自,
亞洲大學,醫學檢驗暨生物技術學系生物技術組,國、英、自,
亞洲大學,心理學系心理師研修組,英、自,
亞洲大學,心理學系諮商與臨床心理組,國、英,
亞洲大學,心理學系工商與社會心理組,英、社,
亞洲大學,視光學系,國、英,
亞洲大學,聽力暨語言治療學系,英、自,
亞洲大學,職能治療學系,國、英、自,
亞洲大學,物理治療學系,國、英、自,
亞洲大學,護理學系國際護理組,英、數A、自,
亞洲大學,護理學系臨床照護組,英、數A、自,
亞洲大學,護理學系高齡長期照護組,國、*英、數A、自,
亞洲大學,生物資訊與醫學工程學系生醫資訊組,國、數A、自,
亞洲大學,生物資訊與醫學工程學系醫學工程組,國、數A、自,
亞洲大學,資訊工程學系人工智慧組,國、英、數B,
亞洲大學,資訊工程學系數位內容與遊戲設計組,國、數B,
亞洲大學,資訊工程學系智慧電子組,英、數B,
亞洲大學,行動商務與多媒體應用學系多媒體應用組,國、社,
亞洲大學,行動商務與多媒體應用學系行動商務組,國、社,
亞洲大學,資訊傳播學系智慧傳播應用組,國、社,
亞洲大學,資訊傳播學系新媒體傳播內容組,國、社,
亞洲大學,經營管理學系行銷管理組,國,
亞洲大學,經營管理學系國際企業管理組,國、英,
亞洲大學,休閒與遊憩管理學系餐旅事業管理組,國、社,
亞洲大學,休閒與遊憩管理學系旅遊事業管理組,國、英,
亞洲大學,會計與資訊學系會計稅務組,*國、社,
亞洲大學,會計與資訊學系智慧會計組,國、*英,
亞洲大學,財務金融學系投資理財組,國、英、社,
亞洲大學,財務金融學系金融科技組,國、英、社,
亞洲大學,財經法律學系科技法律組,國、社,
亞洲大學,財經法律學系財經法律組,國、社,
亞洲大學,外國語文學系語文專業組,國、英,
亞洲大學,外國語文學系語文應用組,英、社,
亞洲大學,社會工作學系社工心理雙專業組,國、英,
亞洲大學,社會工作學系醫務社工與長期照顧雙專業組,國、英、社,
亞洲大學,幼兒教育學系文教產業組,國、社,
亞洲大學,幼兒教育學系幼教師資組,國、英、社,
亞洲大學,數位媒體設計學系,國、英,
